iter	Passed	Remaining
0	1	121
1	2	114
2	3	110
3	4	105
4	5	109
5	7	112
6	8	115
7	9	114
8	11	113
9	12	110
10	13	108
11	14	106
12	15	105
13	16	103
14	18	103
15	19	103
16	21	103
17	22	102
18	27	115
19	28	115
20	30	113
21	35	125
22	37	125
23	39	126
24	41	124
25	42	121
26	44	121
27	47	122
28	50	123
29	52	121
30	53	119
31	55	117
32	57	116
33	59	115
34	60	112
35	62	111
36	66	112
37	67	110
38	69	108
39	71	106
40	72	104
41	73	101
42	74	99
43	76	96
44	77	95
45	80	94
46	82	93
47	85	92
48	86	89
49	87	87
50	88	85
51	90	83
52	91	81
53	93	79
54	94	77
55	96	75
56	97	73
57	98	71
58	99	69
59	100	67
60	102	65
61	103	63
62	104	61
63	105	59
64	107	57
65	108	56
66	110	54
67	111	52
68	112	50
69	114	48
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	34
78	125	33
79	126	31
80	127	29
81	128	28
82	129	26
83	130	24
84	131	23
85	133	21
86	134	20
87	135	18
88	137	16
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	143	7
95	144	6
96	146	4
97	147	3
98	148	1
99	149	0
